route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7517,3,4934330,the Richmond District,0,374771,86871
7517,3,4934331,the Richmond District,0,374764,86871
7517,3,4934332,the Richmond District,0,374761,86871
7517,3,4934333,the Richmond District,0,374768,86871
7517,3,4934334,the Richmond District,0,374762,86871
7517,3,4934335,the Richmond District,0,374765,86871
7517,3,4934336,the Richmond District,0,374769,86871
7517,3,4934337,the Richmond District,0,374759,86871
7517,3,4934338,the Richmond District,0,374766,86871
7517,3,4934339,the Richmond District,0,374770,86871
7517,3,4934340,the Richmond District,0,374760,86871
7517,3,4934341,the Richmond District,0,374767,86871
7517,3,4934342,the Richmond District,0,374763,86871
7517,3,4934343,the Richmond District,0,374771,86871
7517,3,4934344,the Richmond District,0,374764,86871
7517,3,4934345,the Richmond District,0,374761,86871
7517,3,4934346,the Richmond District,0,374768,86871
7517,3,4934347,the Richmond District,0,374762,86871
7517,3,4934348,the Richmond District,0,374765,86871
7517,3,4934349,the Richmond District,0,374769,86871
7517,3,4934350,the Richmond District,0,374759,86871
7517,3,4934351,the Richmond District,0,374766,86871
7517,3,4934352,the Richmond District,0,374770,86871
7517,3,4934353,the Richmond District,0,374760,86871
7517,3,4934354,the Richmond District,0,374767,86871
7517,3,4934402,the Richmond District,0,374768,86871
7517,3,4934403,the Richmond District,0,374759,86871
7517,3,4934405,the Richmond District,0,374760,86871
7517,2,4934063,the Richmond District,0,374749,86871
7517,2,4934050,the Richmond District,0,374746,86871
7517,2,4934051,the Richmond District,0,374747,86871
7517,2,4934052,the Richmond District,0,374748,86871
7517,2,4934053,the Richmond District,0,374749,86871
7517,2,4934054,the Richmond District,0,374746,86871
7517,2,4934055,the Richmond District,0,374747,86871
7517,2,4934056,the Richmond District,0,374748,86871
7517,2,4934057,the Richmond District,0,374749,86871
7517,2,4934058,the Richmond District,0,374746,86871
7517,2,4934059,the Richmond District,0,374747,86871
7517,2,4934060,the Richmond District,0,374748,86871
7517,2,4934061,the Richmond District,0,374749,86871
7517,2,4934062,the Richmond District,0,374746,86871
7517,2,4934147,the Richmond District,0,374747,86871
7517,2,4934146,the Richmond District,0,374748,86871
7517,2,4934145,the Richmond District,0,374749,86871
7517,2,4934156,the Richmond District,0,374746,86871
7517,2,4934155,the Richmond District,0,374758,86871
7517,2,4934170,the Richmond District,0,374747,86871
7517,2,4934143,the Richmond District,0,374748,86871
7517,2,4934142,the Richmond District,0,374757,86871
7517,3,4934290,the Richmond District,0,374759,86871
7517,3,4934291,the Richmond District,0,374760,86871
7517,3,4934292,the Richmond District,0,374761,86871
7517,3,4934293,the Richmond District,0,374762,86871
7517,3,4934294,the Richmond District,0,374759,86871
7517,3,4934295,the Richmond District,0,374760,86871
7517,3,4934296,the Richmond District,0,374761,86871
7517,3,4934297,the Richmond District,0,374762,86871
7517,3,4934298,the Richmond District,0,374759,86871
7517,3,4934299,the Richmond District,0,374760,86871
