fare_id,route_id,origin_id,destination_id,contains_id
1,7517,,,
1,1002,,,
1,1003,,,
1,7519,,,
1,1006,,,
1,1071,,,
1,1072,,,
1,7521,,,
1,1108,,,
1,1109,,,
1,1110,,,
1,1900,,,
1,1901,,,
1,1010,,,
1,1012,,,
1,7525,,,
1,7526,,,
1,7527,,,
1,7528,,,
1,7529,,,
1,7530,,,
1,7531,,,
1,7532,,,
1,7533,,,
1,7534,,,
1,1028,,,
1,1029,,,
1,7536,,,
1,1030,,,
1,1045,,,
1,7538,,,
1,7539,,,
1,7540,,,
1,7541,,,
1,7542,,,
1,7543,,,
1,7544,,,
1,7545,,,
1,7546,,,
1,7547,,,
1,7548,,,
1,7549,,,
1,7550,,,
1,7551,,,
1,7552,,,
1,7553,,,
2,1059,,,
2,1060,,,
2,7555,,,
1,7556,,,
1,7557,,,
1,7558,,,
1,1080,,,
1,1081,,,
1,1082,,,
1,7560,,,
1,7561,,,
1,7562,,,
1,7563,,,
1,1094,,,
1,1093,,,
1,1101,,,
1,1102,,,
1,1103,,,
1,1104,,,
1,1105,,,
1,1106,,,
1,1197,,,
1,1196,,,
1,1199,,,
1,1198,,,
1,7569,,,
1,1033,,,
1,1034,,,
1,1031,,,
1,1032,,,
1,1038,,,
1,1039,,,
1,7572,,,
1,1115,,,
1,1114,,,
1,7574,,,
1,7575,,,
1,7606,,,
